company,role,salary,experience,Location,description,skills,qualification,industry_type,Functional_area,Employment_type,Role_category
"Mphasis is a leading IT solutions provider, offering Applications, Business Process Outsourcing (BPO) and Infrastructure services globally through a combination of technology knowhow, domain and process expertise.Mphasis Limited (then, Mphasis BFL Limited) was formed in June 2000 after the merger of the US-based IT consulting company Mphasis Corporation (founded in 1998) and the Indian IT services company BFL Software Limited (founded in 1993).Over the years we have left an indelible impression in the IT solutions domain with an impressive clientele and an extensive global presence. The accolades we have been garnering can be attributed to our undeterred focus in delivering quality solutions across verticals that meet the challenging requirements of our esteemed customers. Our integrated solutions offering is aimed at creating value for our customers, helping them in improving their business processes with minimum hassles and capital outlays. The perfect blend of technical excellence, business performance monitoring, business intelligence and customer experience management is what makes us endearing to our clients.","RoleFull Stack Developer,",Not Disclosed,3 - 5 years,Bangalore/Bengaluru,"Job descriptionTechnical Skills: 1. Should have “advanced” level SQL Performance tuning skillset. 2. Should be expert in in tuning SQL queries & Database 3. Ability to diagnose the performance issues from SQL to Application to Database to System to Storage 4. Expert level understanding of Oracle database architecture 5. Expert knowledge in ASH and AWR objects 6. Ability to improve SQL performance on packaged software 7. Experience in creating and executing performance testing strategy using SQL Performance Manager & Real Application Testing 8. Identify and resolve performance bottlenecks at DB & at session / program level 9. Should have experience & ability to work with various teams to resolve performance issues (development, storage administrators, network administrators, system administrators and business users) 10. Controls migrations of programs, database changes, reference data changes and menu changes through the development life cycle. 11. Implements and enforces security for all the Databases. 12. Performs database re-organization as required to assist performance and ensure maximum uptime of the database. 13. Puts standards in place to ensure that all application design and code is produced with proper integrity, security and performance. 14. Administers all database objects, including tables, clusters, indexes, views, sequences, packages and procedures. 15. Provides technical support to enterprise level application support systems16. Able to translate business requirements in technical solutions. 17. Efficient in writing DB queries, schedulers and configuration management, 18. Proven ability to raise/followup SRs with vendors/ OEMs and work through SRs with Oracle for efficient closure of critical issues 19. Ability to work effectively with team and share knowledge 20. Knowledge of PL/SQL & Operating System(s) Windows/ Linux/ AIX along with Perl & Shell scripts.21.Monitoring Application using APM tools and troubleshoot. 22. Tool Knowledge – Oracle Enterprise Manager, Toad for Oracle, Remedy ITSM , Jira, APM toolsProcess Skills: Very good exposure to Agile development methodology.Exposure to working in an onshore/offshore model.Behavioral Skills:Good communication skills, written and VerbalQualification:Any degree in computer scienceRoleFull Stack Developer,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :BCA in Computers, B.Sc in Computers, B.Tech/B.E. in ComputersPG :Any PostgraduateKey SkillsSoftware EngineeringLinuxAgilePerlWindowsJiraSQLSkills highlighted with ‘‘ are preferred keyskills","['Software Engineering', 'Linux', 'Agile', 'Perl', 'Windows', 'Jira', 'SQL']","['UG :BCA in Computers, B.Sc in Computers, B.Tech/B.E. in Computers', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"Visa (NYSE: V) is a world leader in digital payments, facilitating transactions between consumers, merchants, financialinstitutions and government entities across more than 200 countries and territories. Our purpose is to uplift everyone,everywhere by being the best way to pay and be paid.","RoleFull Stack Developer,",Not Disclosed,5 - 10 years,Bangalore/Bengaluru,"Job description   Responsible for the application development deliverables that include design, coding, unit and functional testing     Work with technical product managers and business users to define and clarify requirements/stories/features create solution approach based on business requirement. Provide recommendation on scope and scale of effort required to develop solutions     Agile application development utilizing various open source tools for continuous integration and delivery     Identify opportunities for further enhancements and refinements to standards, processes and application functionalities     Interface closely with project/product team members such as Analysts, Developers, Technical Product Managers, QA Engineers, Product Owners, Network Security Engineers, Operations Personnel, System Engineers, etc.     Ensure development work adheres to Visa Development Management Methodology (DMM), Visa s Technical Security Requirements (TSR) and Secure Software Development Lifecycle (SSDLC)     Work with various project team members to ensure technology are business driven and meet business requirement     Provide level 3 development support for production issues and service requests     Build and maintain working relationship with many global development teams and engineers.     Qualifications    Basic Qualifications :   5 years of work experience and a Bachelors Degree or 4 years of work experience with an Advanced Degree .  Be passionate about technology and solving large-scale complex business problems.  Be an established self-starter who possesses a relentless drive to initiate change, raise the technical bar and deliver result  Experience in software design and application development of a large scale system  Experience with software development utilizing Java, J2EE, Hibernate and Spring/Spring Boot.   Knowledge in data modeling and SQL programming is required  Familiar with modern web frameworks, libraries and tools (React, Angular, Bootstrap, Webpack)  Familiarity with server side JavaScript framework such as NodeJS, JQuery  Working experience with following OS, middleware and database systems - JBoss Web Server, Apache Tomcat, Redhat Linux, MS SQL Server, LDAP,   Experience with following open source development tools : Eclipse, Maven, Jira, Jenkins, ArtifactoryPro, Git/Bitbucket  Demonstrated ability to solve complex software development, design and production issues   Ability to understand application system topology at all levels  Excellent verbal and written communication skills  Demonstrated ability to work in a complex organization and be effective in achieving task assigned  Excellent analytical and problem solving skills  Experience working with Restful APIs  Experience with full stack development desirable   Preferred Qualifications :   Experience with following tools like Selenium, Checkmarx  -Some working experience with web services standards and related technologies. E.g. WSDL, XSD, XML, XSLT, CXF, REST and SOAP  Spring Cloud, Docker, Kubernetes experience will be plus point.  Skills in creating testable components, writing unit tests and knowledge of front-end testing frameworks  Experience in designing and engineering rich user interfaces  RoleFull Stack Developer,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsHibernateMS SQLjQueryJBossXMLEclipseJavascriptXSLTApplication developmentOpen source","['Hibernate', 'MS SQL', 'jQuery', 'JBoss', 'XML', 'Eclipse', 'Javascript', 'XSLT', 'Application development', 'Open source']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"Visa (NYSE: V) is a world leader in digital payments, facilitating transactions between consumers, merchants, financialinstitutions and government entities across more than 200 countries and territories. Our purpose is to uplift everyone,everywhere by being the best way to pay and be paid.","RoleTechnical Architect,",Not Disclosed,3 - 6 years,Bangalore/Bengaluru,"Job description    As a Sr Software Engineer, you will be part of our Global Services Product Development team to play Developer role to design, enhance and build our integrations with different ecommerce platforms in an agile development environment   You will work with highly talented colleagues, who will support and challenge you daily   You will be taking driver seat and be part of multiple projects ranging from building full stack development of real-time transactional services, REST services API, Container based services to highly functional, secure, scalable and resilient real time and batching systems   You will work with external System Integrators to help build some of the popular ecommerce and POS Systems   You must be a self-starter, detail-oriented, have the ability to work in a fast-paced and highly dynamic environment, and be able to prioritize multiple demands   You will be responsible for creating and implementing best practices, finding areas of improvements, and coordinating multiple work streams      Additional Information   Our engineers do more than just write code:    You ll help our customers achieve their real goals by understanding their requirements and how they respond to their business needs     You ll use technologies that include Java, REST, NoSQL, Docker and more     Champion Agile to inspire change and continuous improvement throughout the delivery process     You will analyze business requirements and architect a solution that is robust and scalable along with providing technical documentation of solution     You have the work and academic experience that will demonstrate proficiency and ease with programming languages, mobile technologies, quality assurance, scripting languages and operating systems     You ll leverage on new technologies to build the next generation of Payment Integrations     You ll lead efforts to architect, design and implement various components of our global transaction processing systems     Your DNA would include following and creating software best practices and processes.     You ll lead meeting and discussions with cross-functional and non-technical teams     You have excellent interpersonal skills and above all, you are team players     Qualifications    Our ideal candidate will:  You have a Bachelor degree in Computer Science or related field and 4 or more years of Software Development Experience  You have expertise of Core Java, JEE technologies, Web technologies, JavaScript and container based technologies.  Understanding of middleware/integration technologies (EPIC, Cegid, Oracle XStore, ETLs, APIs, Web Services, REST, SOAP)  You have payments related SME knowledge in one or more of the following industries Banking, Fintech, Retail, Healthcare, Insurance  You have experience architecting solutions with Continuous Integration and Continuous Delivery in mind  You are a collaborate well with rest of the team members and cross functions to deliver world class products.  You are an advocate to rest of the teams to best engineering practices to delivery with highest quality possible, with top velocity.  We count on your curiosity and creativity, to want to understand customer requirements and our processes and want to come up with creative solutions  While you ll have the skill to see and understand the big picture, you re able to stay focused on the task at hand to achieve immediate goals  You re great at systematic and accurate research wanting to uncover the smallest detail  You have amazing work ethics that will help us all work extremely well together  You have proven experience as a technical person with ability to understand the requirement and architect, design and build the solution.  You have the passion to understanding people and to always striving to improve our products and services!  RoleTechnical Architect,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsCore JavaManager Quality AssuranceNoSQLJavascriptAgileHealthcareOracleMiddlewareTechnical documentation","['Core Java', 'Manager Quality Assurance', 'NoSQL', 'Javascript', 'Agile', 'Healthcare', 'Oracle', 'Middleware', 'Technical documentation']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"Wells Fargo & Company (NYSE: WFC) is a diversified, community-based financial services company with $1.9 trillion in assets. Wells Fargos vision is to satisfy our customersfinancial needs and help them succeed financially. Founded in 1852 and headquartered in San Francisco, Wells Fargo provides banking, investment and mortgage products and services, as well as consumer and commercial finance, through 8,050 locations, 13,000 ATMs, the internet (wellsfargo.com) and mobile banking, and has offices in 38 countries and territories to support customers who conduct business in the global economy. With approximately 265,000 team members, Wells Fargo serves one in three households in the United States. Wells Fargo & Company was ranked No. 26 on Fortunes 2018 rankings of Americas largest corporations. News, insights and perspectives from Wells Fargo are also available at Wells Fargo Stories.","RoleTechnical Lead,",Not Disclosed,10 - 15 years,Bangalore/Bengaluru,"Job description  The Sr. Software Engineer role is part of our next gen application development in micro-service and cloud platform. The candidate should have strong knowledge of programming, algorithms, data structure, core concepts of OOP, experience in micro-service development and production deployment. The individual should be able to mentor and groom the junior team members      Basic Qualifications:     Bachelors degree in computer science or equivalent work experience   10+ years experience programming in Java or an equivalent OOP language   Strong knowledge of widely used algorithms and data structures   Experience in Spring Boot and Spring Integration.   7+ years experience building scalable backend services (REST APIs, micro services, designing and implementing efficient data processing algorithms, messaging paradigms, middleware, persistent store)   Strong knowledge of software development methodologies and best practices.   Experience with any relational databases   Experience in CI/CD   Experience in build tools Maven and Gradle   Experience in Test Driven Development with TestNG/JUnit      Preferred Qualifications:     Expert level experience with multiple API design approaches and best practices   Experience with applying security best practices to API Platforms   Exposure to UI development using React Redux   Experience in working with any cloud platform   Experience in NoSQL and/or object oriented database   Excellent written and verbal communication skills including the ability to present complex information in a clear and concise manner to engineering and non-engineering audiences   Documented and demonstrable experience in technical leadership roles leading platform and API teams                                                                                                     RoleTechnical Lead,Industry TypeFinancial Services,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsUI developmentMavenBackendNoSQLData structuresData processingApplication developmentMiddlewareMonitoring","['UI development', 'Maven', 'Backend', 'NoSQL', 'Data structures', 'Data processing', 'Application development', 'Middleware', 'Monitoring']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeFinancial Services,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"Wells Fargo & Company (NYSE: WFC) is a diversified, community-based financial services company with $1.9 trillion in assets. Wells Fargos vision is to satisfy our customersfinancial needs and help them succeed financially. Founded in 1852 and headquartered in San Francisco, Wells Fargo provides banking, investment and mortgage products and services, as well as consumer and commercial finance, through 8,050 locations, 13,000 ATMs, the internet (wellsfargo.com) and mobile banking, and has offices in 38 countries and territories to support customers who conduct business in the global economy. With approximately 265,000 team members, Wells Fargo serves one in three households in the United States. Wells Fargo & Company was ranked No. 26 on Fortunes 2018 rankings of Americas largest corporations. News, insights and perspectives from Wells Fargo are also available at Wells Fargo Stories.","RoleOther,",Not Disclosed,7 - 12 years,Hyderabad/Secunderabad,"Job description   Lead moderately complex initiatives and deliverables within technical domain environments   Contribute to large scale planning of strategies   Design, code, test, debug, and document for projects and programs associated with technology domain, including upgrades and deployments   Review moderately complex technical challenges that require an in-depth evaluation of technologies and procedures   Resolve moderately complex issues and lead a team to meet existing client needs or potential new clients needs while leveraging solid understanding of the function, policies, procedures, or compliance requirements   Collaborate and consult with peers, colleagues, and mid-level managers to resolve technical challenges and achieve goals   Lead projects and act as an escalation point, provide guidance and direction to less experienced staff       Required Qualifications:      Candidate should have hands-on experience of being part of implementation projects   Good hands-on experience on any database   Gather requirements and translate to Process Unity s capabilities.   Develop and deliver deep product and technical expertise to ProcessUnity.   Configure Process Unity s software applications using an enablement approach.   Consult with business on system configuration based on product and industry best practices.   Contribute to the development of best practices, project standards and methodologies to improve efficiency and effectiveness of implementations and team processes/policies/procedures   Experience on configuring the ProcessUnity. This includes experience of configuring,   Notifications, Emails, templates   Data import templates for loading/Exporting data   Objects workflows as per business needs,   Triggering assessments and Screening questionnaires   Process Metrics and Reports   Configuring access using Teams, Users and Roles.   Hands on experience in deployments process in various environments.   Experience of using PU APIs for integrating PU platform with other platforms   Participate in knowledge transfer sessions, product training and other strategic initiatives as needed.         Desired Qualifications:      Bachelors/Master s degree in Computer Science or equivalent   A Developer with more than 7+ years of experience in software development.   Data Engineer experience (Reading, transforming and loading data from/to various sources/targets platforms)   Having exposure to different ETL tools (SSIS/Alteryx is preferable)   Having knowledge on API and their usage   Having knowledge of RPA tool UI Path   Having knowledge of Reporting tools like Tableau or Power BI   Excellent verbal, written, and interpersonal communication skills   Domain knowledge of Supply Chain Management and Third Party Risk Management will be added advantage.                                                                                                        RoleOther,Industry TypeFinancial Services,Functional AreaOther,Employment TypeFull Time, PermanentRole CategoryOtherEducationUG :Any GraduatePG :Any PostgraduateKey SkillsremediationSupply chain managementSSISRisk managementOperationsMonitoringReporting toolsRecruitment","['remediation', 'Supply chain management', 'SSIS', 'Risk management', 'Operations', 'Monitoring', 'Reporting tools', 'Recruitment']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeFinancial Services,","Functional AreaOther,","Employment TypeFull Time, Permanent",Role CategoryOther
"Mphasis is a leading IT solutions provider, offering Applications, Business Process Outsourcing (BPO) and Infrastructure services globally through a combination of technology knowhow, domain and process expertise.Mphasis Limited (then, Mphasis BFL Limited) was formed in June 2000 after the merger of the US-based IT consulting company Mphasis Corporation (founded in 1998) and the Indian IT services company BFL Software Limited (founded in 1993).Over the years we have left an indelible impression in the IT solutions domain with an impressive clientele and an extensive global presence. The accolades we have been garnering can be attributed to our undeterred focus in delivering quality solutions across verticals that meet the challenging requirements of our esteemed customers. Our integrated solutions offering is aimed at creating value for our customers, helping them in improving their business processes with minimum hassles and capital outlays. The perfect blend of technical excellence, business performance monitoring, business intelligence and customer experience management is what makes us endearing to our clients.","RoleFull Stack Developer,",Not Disclosed,5 - 10 years,Bangalore/Bengaluru,"Job descriptionResponsibilities:Senior engineers with experience working with liferay, troubleshooting and maintaining in productionA great problem solver.Excellent EnglishParticipate in requirements analysisAble to prioritise own work. Will likely join an existing team in Europe/Indian timezone so needs to know how to work independently and when to ask for assistanceMandatory Skills:5+ Years’ experience in Liferay Should have experience in migrating applications from a datacentre to AWS cloudKnowledge on AWS Cloud & KubernatesNice to have Skills:Having java spring/react experience that would be beneficial.Process Skills: Capable of analyzing requirements and develop software as per project defined software processDevelop and peer review of LLD Write clean, scalable code using .NET programming languagesAbility to execute test plans, create test cases & test data Behavioral Skills:Excellent verbal and written communication skills.Must be a good team player, be able to mentor and develop junior team membersCollaborate with internal teams to produce software design and architectureSkillsPRIMARY COMPETENCY : EWT / Portal PRIMARY SKILL : Liferay PRIMARY SKILL PERCENTAGE : 75 SECONDARY COMPETENCY : Cloud Apps SECONDARY SKILL : Amazon Web Services-Cloud platform SECONDARY SKILL PERCENTAGE : 25RoleFull Stack Developer,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsSoftware EngineeringAmazon Web Servicesjavatest planstest casestroubleshootingReact APIAWS CloudNETAWSKubernetesSkills highlighted with ‘‘ are preferred keyskills","['Software Engineering', 'Amazon Web Services', 'java', 'test plans', 'test cases', 'troubleshooting', 'React API', 'AWS Cloud', 'NET', 'AWS', 'Kubernetes']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"We are Quest Global. We€™re in the business of engineering, but what we€™re really building is a brighter future. It€™s not just what we do, but why we do it that makes us different. We believe engineering has the unique opportunity to solve the problems of today that stand in the way of tomorrow. For 25 years, we have strived to be the most trusted partner for the world€™s hardest engineering problems. As a global organization headquartered in Singapore, we live and work in 17 countries, with 56 global delivery centers, driven by 13,000+ extraordinary employees who make the impossible possible every day. Quest Global brings deep industry knowledge and digital expertise to deliver E2E global product engineering services. We bring together technologies and industries alongside the contributions of diverse individuals and their areas of expertise to solve problems better, faster. This multi-dimensional approach enables us to solve the most important and large-scale challenges across the Aerospace & Defense, Automotive, Energy, Hi-Tech, Healthcare, Medical Devices, Rail and Semiconductor industries","RoleSystem Administrator / Engineer,",Not Disclosed,3 - 6 years,Bangalore/Bengaluru,"Job descriptionRoles & Responsibilities:As a Senior member of the team in the Healthcare domain, your primary job will be to involve in development and enhancement of software applications in C++ related to medical devicesDesign, build, and maintain efficient, reusable, and reliable C++ codeImplement performance and quality modulesIdentify bottlenecks and bugs, and devise solutions to these problems.You should be passionate about going an extra mile to design and enhance applications for good stability, reliability and performance.Required Skills (Technical Competency):Solid understanding of Object Oriented Design and Programming.Strong proficiency in C++, with fair knowledge of the language specification.Strong proficiency in Qt and QM.Experience in working Yocto Linux /Linux/WindowsStrong logical and analytical skills.Thorough knowledge of the standard library, STL containers/MFC, and algorithms.Good understanding of memory management in non-garbage collected environments.Familiarity with templating in C++Knowledge of the latest C++ standards.Knowledge of low-level threading primitives and real-time environments.Familiarity with system call wrapper library functionsImplementation of automated testing platforms and unit tests.Proficient understanding of code versioning tools such as Git, SVN.Familiarity with continuous integration.Knowledge of design patterns and its usage and tools like Visio.Desired Skills:Knowledge in Healthcare domain - HIS, RIS, PACS, DICOM and HL7.Experience in working with MITK, VTK, ITKExperience in Agile developmentRoleSystem Administrator / Engineer,Industry TypeIT Services & Consulting,Functional AreaEngineering - Hardware & Networks,Employment TypeFull Time, PermanentRole CategoryIT NetworkEducationUG :Any GraduatePG :Any PostgraduateKey SkillsObject Oriented DesignITKmemory managementHL7HISPACSAgile developmentMITKautomated testingDICOMVTKRISSkills highlighted with ‘‘ are preferred keyskills","['Object Oriented Design', 'ITK', 'memory management', 'HL7', 'HIS', 'PACS', 'Agile development', 'MITK', 'automated testing', 'DICOM', 'VTK', 'RIS']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Hardware & Networks,","Employment TypeFull Time, Permanent",Role CategoryIT Network
"Wells Fargo & Company (NYSE: WFC) is a diversified, community-based financial services company with $1.9 trillion in assets. Wells Fargos vision is to satisfy our customersfinancial needs and help them succeed financially. Founded in 1852 and headquartered in San Francisco, Wells Fargo provides banking, investment and mortgage products and services, as well as consumer and commercial finance, through 8,050 locations, 13,000 ATMs, the internet (wellsfargo.com) and mobile banking, and has offices in 38 countries and territories to support customers who conduct business in the global economy. With approximately 265,000 team members, Wells Fargo serves one in three households in the United States. Wells Fargo & Company was ranked No. 26 on Fortunes 2018 rankings of Americas largest corporations. News, insights and perspectives from Wells Fargo are also available at Wells Fargo Stories.","RoleOther,",Not Disclosed,6 - 11 years,Hyderabad/Secunderabad,"Job description   Lead moderately complex initiatives and deliverables within technical domain environments   Contribute to large scale planning of strategies   Design, code, test, debug, and document for projects and programs associated with technology domain, including upgrades and deployments   Review moderately complex technical challenges that require an in-depth evaluation of technologies and procedures   Resolve moderately complex issues and lead a team to meet existing client needs or potential new clients needs while leveraging solid understanding of the function, policies, procedures, or compliance requirements   Collaborate and consult with peers, colleagues, and mid-level managers to resolve technical challenges and achieve goals   Lead projects and act as an escalation point, provide guidance and direction to less experienced staff       Required Qualifications, US:      6+ years of Software Engineering experience, or equivalent demonstrated through one or a combination of the following: work experience, training, military experience, education       Required Qualifications, International:      Experience in Software Engineering, or equivalent demonstrated through one or a combination of the following: work experience, training, military experience, education       Desired Qualifications:      Experience in the Cloud technologies like PCF / AWS etc..   Proficiency in developing web based applications, should have experience in UI and Server technologies (ANGULAR / React, JDBC, Servlets, JavaBeans, Java Server Pages / MVC Pattern using Struts).   Experience in developing client side UI components using Angular / React.   Experience in developing the functionalities, enhancements and bug fixes for application (UI/Backend) by consuming and exposing services.   Designing, implementing and maintaining Java services with well-designed, efficient and test driven code.   Experience in Developing Restful Web services and Micro services in java by using Spring boot.   Develop service/business layer components using Spring and EJBS.   Should be able to design and develop MVC restful services using JAVA spring boot (MVC) with Oracle/SQL Server Database.   Strong knowledge of Junit/TestNG, Selenium frameworks      Job Expectations:      Involve in end -end lifecycle of Product/Application development, analyze highly complex business requirements, designs and writes technical specifications to design or redesign complex modules and applications.   Develop highly complex original code and provide coding direction to junior team members   Proficiency with Agile, DevOps practices, delivering Cloud solutions. Experience with delivering projects using Agile software development techniques.   Advanced knowledge of object oriented design and development (OOA/OOD) and the JAVA patterns and practices   Must possess innovative and Out-of-box thinking while developing advanced technical solutions to business problems, and grab opportunities to improve system resiliency.                                                                                                     RoleOther,Industry TypeFinancial Services,Functional AreaOther,Employment TypeFull Time, PermanentRole CategoryOtherEducationUG :Any GraduatePG :Any PostgraduateKey SkillsObject oriented designBackendCodingAgileStrutsJDBCApplication developmentMVCSeleniumMonitoring","['Object oriented design', 'Backend', 'Coding', 'Agile', 'Struts', 'JDBC', 'Application development', 'MVC', 'Selenium', 'Monitoring']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeFinancial Services,","Functional AreaOther,","Employment TypeFull Time, Permanent",Role CategoryOther
"Were simplifying insurance products so that even a 15-year-old can comprehend them.We believe this can be changed; the way insurance products are viewed, purchased, and claimed. Simply put, we are here To Make Insurance Simple.","RoleFront End Developer,",Not Disclosed,5 - 7 years,Bangalore/Bengaluru,"Job description           Experience in front-end technologies like HTML 5,CSS 3,Angular 2/4/6, query.      Should have hands on experience working with CSS compilers and HTML template engines.      Should be proficient with JavaScript and scripting libraries such as jQuery, require.js, etc      Ability to work with different Workflow tools such as git, grunt, gulp, etc.      Thorough understanding of development of responsive/mobile-first web pages.     Understanding of graceful degradation principles for different levels of browser support.      Working knowledge of best practices for web performance    optimization   . Strong browser testing and debugging skills.           Good to have:            Experience with a modern front-end framework like Angular. Should understand various front-end principles such as Atomic design, BEM, etc. Understanding of basic UI principles.        RoleFront End Developer,Industry TypeInsurance,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsUI developmentCSSjQueryFront endGITWeb technologieshtml5DebuggingWorkflowHTML","['UI development', 'CSS', 'jQuery', 'Front end', 'GIT', 'Web technologies', 'html5', 'Debugging', 'Workflow', 'HTML']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeInsurance,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"Visa (NYSE: V) is a world leader in digital payments, facilitating transactions between consumers, merchants, financialinstitutions and government entities across more than 200 countries and territories. Our purpose is to uplift everyone,everywhere by being the best way to pay and be paid.","RoleTechnical Architect,",Not Disclosed,12 - 17 years,Bangalore/Bengaluru,"Job description    As a   Software Engineer Sr Consultant   - you will be part of our Acceptance Solutions Professional Services Development team to play Senior Dev Lead role to design, enhance and build our integrations with different ecommerce platforms in an agile development environment    You will work with highly talented colleagues, who will support and challenge you daily   You will be taking driver seat and be part of multiple projects ranging from building full stack development of real-time transactional services, REST services API, Container based services to highly functional, secure, scalable and resilient real time and batching systems   You will work with external System Integrators to help build some of the popular ecommerce and POS Systems   You must be a self-starter, detail-oriented, have the ability to work in a fast-paced and highly dynamic environment, and be able to prioritize multiple demands   You will be responsible for creating and implementing best practices, finding areas of improvements, and coordinating multiple work streams      Additional Information   Our engineers do more than just write code:    You will help our customers achieve their real goals by understanding their requirements and how they respond to their business needs     You ll use technologies that include Java, REST, NoSQL, Docker and more     Champion Agile to inspire change and continuous improvement throughout the delivery process     You will analyze business requirements and architect a solution that is robust and scalable along with providing technical documentation of solution     You have the work and academic experience that will demonstrate proficiency and ease with programming languages, mobile technologies, quality assurance, scripting languages and operating systems     You will leverage on new technologies to build the next generation of Payment Integrations     You will lead efforts to architect, design and implement various components of our global transaction processing systems     Your DNA would include following and creating software best practices and processes.     You will lead meeting and discussions with cross-functional and non-technical teams     You have excellent interpersonal skills and above all, you are team players     You will have an energetic team to groom them as top-notch tech engineers in payments domain.     You will be involved in executive discussions in various stages like project initiation, production issues and triaging, Architect review, etc     Qualifications    Our ideal candidate will:  You have a Bachelor degree in Computer Science or related field and 12+ years of Software Development Experience or a Masters with 7+ years of Software Development Experience  You have expertise of Core Java, JEE technologies, Web technologies, JavaScript and container based technologies.  Understanding of middleware/integration technologies (EPIC, Cegid, Oracle XStore, ETLs, APIs, Web Services, REST, SOAP)  You have the expertise on the technologies, Hazelcast, KAFKA, Docker/K8S  You are an expert in proposing solutions for building world class payment solutions which includes Development, monitoring, troubleshooting, triaging  You have payments related SME knowledge in one or more of the following industries Banking, Fintech, Retail, Healthcare, Insurance  You have experience architecting solutions with Continuous Integration and Continuous Delivery in mind  You have the ability to work with various Solutions architects/Architects to build tailored solutions for various system integrations.  You are a mentor rest of the team members to groom them as best in class developers  You are an advocate to rest of the teams to best engineering practices to delivery with highest quality possible, with top velocity.  We count on your curiosity and creativity, to want to understand customer requirements and our processes and want to come up with creative solutions  While you will have the skill to see and understand the big picture, you re able to stay focused on the task at hand to achieve immediate goals  You are great at systematic and accurate research wanting to uncover the smallest detail  You have amazing work ethics that will help us all work extremely well together  You have proven experience as a technical leader with ability to understand the requirement and architect, design and build the solution.  You have the passion to understanding people and to always striving to improve our products and services!  RoleTechnical Architect,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsCore JavaManager Quality AssuranceJavascriptAgileHealthcareOracleTroubleshootingMiddlewareMonitoring","['Core Java', 'Manager Quality Assurance', 'Javascript', 'Agile', 'Healthcare', 'Oracle', 'Troubleshooting', 'Middleware', 'Monitoring']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
